ID	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Schneider.Xd.5	Schneider.Xd.6	Schneider.Xd.7	Schneider.Xd.8	Schneider.Xd.9	Schneider.Xd.10	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4	Grantham.Xd.5	Grantham.Xd.6	Grantham.Xd.7	Grantham.Xd.8	Grantham.Xd.9	Grantham.Xd.10
1182|0	0.12189366573595606	0.16808912309424198	0.08062585348542659	0.17735970151670244	0.0	0.27699659913651203	0.04307707222193429	0.0541749625493138	0.03947064105352997	0.18363784038431247	0.026875284495142194	0.10287037402167967	0.0	0.08464136133228595	0.0	0.0	0.0774880567753502	0.08006810217045919	0.0	0.16543450071422713	0.20012316065770755	0.05953737366819205	0.08786742784744016	0.1859819018497805	0.0	0.23012661357465525	0.0291944004659014	0.13048302609575999	0.01600745161489802	0.10514442427140232	0.019625029601754548	0.051157533937162915	0.0	0.06358744543224512	0.0	0.0	0.15341774238310352	0.03356279964792555	0.0	0.11703032049041136	0.5430048929110338	0.5219653616278848	0.5119183768578965	0.528051708320545	0.7822540507719565	0.6545200929956133	0.46999780958911963	0.7312410800842004	0.7244069589903962	0.6884310848094117	0.3545903810564759	0.35662489976686196	0.325734346293438	0.42456565524820616	0.6851164700621759	0.5497750618066322	0.5083715863090592	0.7650520947775438	0.6710308855854543	0.6353401877327531
2807|0	0.19640362358600857	0.315976481950419	0.30312340346128847	0.0	0.0	0.0	0.0	0.10183891593348593	0.0	0.0	0.2020822689741923	0.0	0.0	0.0	0.4827233574219743	0.18220392766147786	0.0	0.0	0.0	0.0	0.36491723079215976	0.12665824901160727	0.3738537281921212	0.0	0.0	0.0	0.0	0.2775861713875744	0.0	0.0	0.1669990953925579	0.0	0.0	0.0	0.4078502819175144	0.12442828332117514	0.0	0.0	0.0	0.0	0.7644435688226556	0.49875005277438533	0.5822370768553768	0.5495138426204557	0.32503154037139453	0.4413340062031317	0.49067475092198215	0.2705536580066631	0.2549011263977253	0.16507354134806296	0.6780061799471405	0.3603535534369119	0.4906368313920263	0.6861892964100177	0.5490095144937229	0.4200229485796114	0.7354331973253773	0.33201126846801926	0.4721192882495455	0.2792910671252441
5281|0	0.03281904899989384	0.039599756821964816	0.0	0.0	0.06389335918639553	0.19577110816683596	0.16237496425125925	0.08934074449971104	0.11158564636812432	0.043262845856197295	0.12662981529531347	0.04847002257438309	0.0	0.0	0.0	0.13700825801080152	0.036510490963654565	0.0754522914220625	0.07899343476903553	0.10393162670929897	0.03916822874168921	0.010196105138429347	0.0	0.0	0.2370060397400047	0.1182313731321736	0.07999524554446963	0.15642158859528216	0.03289637743984359	0.01800656526378812	0.06721790123946325	0.017522022303269665	0.0	0.0	0.0	0.0600995451383847	0.05254727694763271	0.02299126164734503	0.02524095575780269	0.05344557560340465	0.488095616629798	0.45521673796657103	0.6459316254376419	0.645074810463131	0.7770530857173179	0.6710560436092545	0.7784573001496692	0.6318035262288653	0.43982439760642467	0.6746366605096603	0.27181855123275567	0.27785526040335196	0.29547613391321437	0.5133950748316957	0.640864339308413	0.5700474554788516	0.7879535326185384	0.726442445884843	0.5220447700042206	0.7394872968932489
3989|0	0.11294475901515497	0.13628015215584163	0.0	0.1437963781598124	0.0	0.1122890582747875	0.34925222101027736	0.0658844427588404	0.0	0.14888645004776965	0.0	0.08340331584776461	0.0	0.0	0.0	0.0	0.03141215794696166	0.0	0.13592554820520453	0.0	0.24108960037764926	0.06275940965939154	0.0	0.19604684668277492	0.0	0.12129028814195306	0.3077433930510621	0.20631673477854176	0.0	0.11083461680768145	0.0	0.0539260708310671	0.0	0.0	0.0	0.0	0.08086019209463538	0.0	0.0776819903821892	0.0	0.6309706216266797	0.3729723572313126	0.7155915380917626	0.7627160164306483	0.6398245897814737	0.45570878715136975	0.5081488751397071	0.6215500226214647	0.35792022512980404	0.7381777281771068	0.339988622313369	0.32697993766019984	0.36329246633716816	0.6981841932247399	0.5224974803961066	0.5183587522470698	0.5955198428349527	0.6744743662297199	0.4986348803842676	0.706477218341151
1255|0	0.07674643330745866	0.09260292996114342	0.1776721807081433	0.7816818942304602	0.0	0.0	0.0	0.05969167035024562	0.0	0.20233792357628952	0.11844812047209557	0.11334579971917953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24304121846451748	0.11355980167258599	0.029561400005828707	0.17451116984484535	0.7387474529953466	0.0	0.0	0.0	0.12957444007808142	0.0	0.1044122772896198	0.07795350240565123	0.050801311205172395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15495387871190425	0.7584914602288444	0.47955505695042255	0.5534270945347977	0.5162979438440233	0.8158492875123075	0.2458812398376436	0.5195778597680362	0.706935108599902	0.4305534491382189	0.3220405730521366	0.5033918355566407	0.35397904844827255	0.5218821372748602	0.41276253484758874	0.6466878761341042	0.45867415480711043	0.5388280016988074	0.793186710967188	0.3554033840973577	0.5898431915808338
2810|0	0.0	0.3064220834551822	0.0	0.32332210591203275	0.16480182213295888	0.0	0.15705675627796337	0.09875954249674983	0.0	0.0	0.0	0.0	0.0	0.0	0.4681269188158508	0.35338900403675005	0.0	0.0	0.0	0.0	0.0	0.10147388764577406	0.0	0.31698251786565745	0.7862454640417021	0.0	0.09951629137263467	0.22239173671840312	0.0	0.0	0.0	0.0	0.0	0.0	0.3267545067657015	0.1993746438186173	0.0	0.0	0.0	0.0	0.8166575205486275	0.48883663338889893	0.47672114410722505	0.6239647049567296	0.6160070778608447	0.19762341206980638	0.5226593552443665	0.36419485853429473	0.018566579670031592	0.26842668004440595	0.6171362829753778	0.45798106419267637	0.3210703126917622	0.7100841240696892	0.6433298736237564	0.4798767120855267	0.5728850306387787	0.6473362368938819	0.18589513316193235	0.30597227406004884
3936|0	0.06751939860620888	0.0	0.10420739460649857	0.22923406828285578	0.02921095670322352	0.0	0.0556763031889658	0.0700201170731055	0.0	0.059337111082713084	0.06947159640433238	0.19943702662818177	0.27525058358243076	0.0	0.0	0.1252756888571842	0.025037962888477296	0.3104595346619918	0.0	0.07127365707234601	0.07326023228602392	0.0	0.07505431001133007	0.1588614081450758	0.09851021312339361	0.0	0.02493717679965658	0.11145556131233617	0.0	0.02245297947303732	0.03352648624855648	0.06554636067533683	0.17558648504207244	0.0	0.0	0.049960068584716084	0.032761465426221874	0.08600568485960129	0.0	0.03332152452086958	0.6167793818322738	0.2829092149996124	0.6210303220839999	0.6372121917082917	0.6192031773000913	0.56845849491499	0.6914301295370064	0.8300717260340295	0.6462364221002004	0.5528532716100353	0.2425852700535973	0.2919948396997022	0.3101406866979284	0.5933772041630749	0.5642487624511984	0.429956244993572	0.7175874907464002	0.9141015785171036	0.6239312665187723	0.6785429053521551
882|0	0.10097086183753276	0.609161705886639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13310217586313072	0.07791768484660691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47963299855437325	0.3579036098713243	0.4658396553667408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16453679209736524	0.12284205987579988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7325464434296636	0.6987627655559145	0.7753400249816742	0.5162849975905268	0.3175365123137628	0.49335331608128186	0.7359910950558647	0.506605428284886	0.0034277813865973192	0.35429058285183246	0.38189385553106653	0.6040227477757175	0.6754256875138029	0.42145755135456053	0.3524109459906734	0.542508722196277	0.7278906312132314	0.6081387899223858	0.017816051207372976	0.5081905724628347	0.457717622619517
3176|0	0.0	0.0	0.0	0.7237589909791425	0.0	0.18839189265401443	0.3515727423881211	0.03684566439061478	0.0	0.0	0.07311404872750361	0.0	0.2896821956298766	0.46053262192849237	0.0	0.0	0.0	0.0	0.0	0.30004237161015723	0.0	0.0	0.0	0.7341633725749966	0.0	0.1514040963671248	0.23048973360497466	0.08584693595583451	0.0	0.0	0.05164652322262244	0.0	0.27048559190107474	0.3346818367998871	0.0	0.0	0.0	0.0	0.0	0.20532314388351638	0.726402550388783	0.4512065369754127	0.5305996799134796	0.6206950590095385	0.55299046543074	0.3685348597097973	0.5200092861225528	0.45408465281379	0.5507944445958508	0.2443246759317868	0.6377201335994203	0.4058340140871376	0.4029772554318354	0.5614269256025552	0.6987730460498743	0.31795778152946386	0.6622162414914767	0.4105752829984862	0.6522105282469787	0.2933284465183664
899|0	0.0	0.05976901502021581	0.0	0.37839264559632607	0.0	0.2954827818048036	0.4901541047776055	0.019263495999762792	0.0	0.0	0.0	0.0	0.0	0.12038686867238979	0.27393082632862137	0.137860251141729	0.08265945013045096	0.0	0.11922698945944343	0.31373379315390154	0.0	0.022833156357221294	0.0	0.42795510613712073	0.0	0.26476731971712003	0.35828268236797606	0.050041497520734474	0.0	0.0	0.0	0.0	0.0	0.09754559158100126	0.22057408806842038	0.0897246084010733	0.17651154647808	0.0	0.056524592636006746	0.2393720283944062	0.4157386706525171	0.487812416276345	0.7078614197598916	0.6210814532286326	0.5848718983418942	0.6019128783262662	0.5134722957698944	0.7812462532737207	0.5896188956657019	0.6273950829383392	0.14993319391059046	0.3790655047388879	0.4973445515821182	0.593032862922331	0.6482170590758699	0.5713008858590524	0.46833481127848503	0.5876944643756267	0.6163350251209558	0.7374003916787687
